RequestMonth,ProviderName,ApiName,ApiVersion,ApiMethod,TotalHits,SuccessCount,ErrorCount,MaxResTimeSec,MinResTimeSec,MedianResTime_Sec,AvgResTime_Sec,RequestLessThan_750_MS,RequestTookMoreThan_750_MSec,RequestLessThan_750_MS_Based_On_SuccessHits,RequestTookMoreThan_750_MS_Based_On_SuccessHits,MAXResponseSize_KB,AVGResponseSize_KB,MINResponseSize_KB
24-Oct,ADP,AccidentServices,1,getAccidentDetails,7673,7521,152,25.089,0.093,0.55,0.97,4481,3192,4340,3179,110419,5813.09,318
24-Oct,ADP,AccidentServices,1,getDriverAccidents,16547,16538,9,45.218,0.06,0.6,1.05,9337,7210,9333,7205,1658002,21202.76,216
24-Oct,ADP,AccidentServices,1,getVehicleAccidents,6141,6108,33,309.335,0.06,0.6,1.25,3439,2702,3417,2689,160185,12173.27,136
24-Oct,ADCA,ADCustomsClearance,1,SubmitRequestForGoodsInspectionOutsideCustomsPremises,1,1,0,0.434,0.434,0.43,0.43,1,0,1,0,1437,1437,1437
24-Oct,ADCA,ADCustomsClearance,1,ValidateDeclarationNumber,212,210,2,1.272,0.054,0.08,0.15,208,4,206,4,679,572.1,260
24-Oct,ADCA,ADCustomsClearanceManifest,1,SearchManifest,7754,7558,211,26.874,0,0.08,0.17,7519,235,7334,224,127691,13509.9,319
24-Oct,ADCA,ADCustomsClearanceManifest,1,SubmitRequestToIssueIBManifest,493,493,3,3.882,0,1.9,1.6,96,397,96,396,1679,1369.34,1195
24-Oct,ADCA,ADCustomsClearanceManifest,1,SubmitRequestToReissueManifest,1,1,0,0.493,0.493,0.49,0.49,1,0,1,0,1240,1240,1240
24-Oct,ADCA,ADCustomsClearanceManifestOB,1,SubmitRequestToIssueOBManifest,398,398,1,9.902,0,1.89,1.64,83,315,83,315,1782,1595,1362
24-Oct,ADCA,ADCustomsClearanceProductManagementPS,1,SubmitReqAccompanyGoods,3,3,0,2.014,0.401,0.45,0.96,2,1,2,1,1484,1483.33,1482
24-Oct,ADCA,ADCustomsClearanceVehicleManagement,1,GetDeclarationTrucks,10,10,0,0.135,0.072,0.08,0.09,10,0,10,0,1329,501.4,293
24-Oct,ADCA,ADCustomsClearanceVehicleManagement,1,GetEligibleChassisVCCNumber,150,150,0,4.461,0.057,0.1,0.17,146,4,146,4,50306,2590.25,463
24-Oct,ADCA,ADCustomsClearanceVehicleManagement,1,GetVccChassisDetails,94,94,0,1.085,0.06,0.07,0.11,92,2,92,2,369,368.52,362
24-Oct,ADCA,ADCustomsClearanceVehicleManagement,1,SubmitRequesTempVPlate,3,3,0,0.39,0.364,0.39,0.38,3,0,3,0,1572,1572,1572
24-Oct,ADCA,ADCustomsClearanceVehicleManagement,1,SubmitRequestModifyCCVehicles,65,65,0,13.337,0.506,2.25,2.1,7,58,7,58,1916,1766.32,1744
24-Oct,ADCA,ADCustomsClearanceVehicleManagement,1,ValidateChassisVsDeclaration,14,13,1,0.245,0.064,0.08,0.1,14,0,13,0,498,441.43,292
24-Oct,ADCA,ADCustomsCustomerCare,1,GetCertificateType,46,46,0,0.321,0.063,0.08,0.1,46,0,46,0,4806,4804.5,4799
24-Oct,ADCA,ADCustomsGenericServices,1,GetAdditionalCharges,29,29,0,0.325,0.084,0.1,0.11,29,0,29,0,5436,5436,5436
24-Oct,ADCA,ADCustomsGenericServices,1,GetAgentImporterDetails,785,785,0,1.108,0.047,0.09,0.11,779,6,779,6,1173,1092.11,987
24-Oct,ADCA,ADCustomsGenericServices,1,GetAgentRating,25,25,0,6.497,0.694,5.78,3.75,2,23,2,23,409793,408529.88,406383
24-Oct,ADCA,ADCustomsGenericServices,1,GetApplicationReferenceNumber,256,256,0,21.581,0.086,0.11,0.21,255,1,255,1,11261,1039.11,498
24-Oct,ADCA,ADCustomsGenericServices,1,GetApplictionRequestStatus,18,18,0,0.639,0.093,0.1,0.17,18,0,18,0,351,351,351
24-Oct,ADCA,ADCustomsGenericServices,1,GetCurrencyRates,28,28,0,0.316,0.096,0.1,0.12,28,0,28,0,8967,8962.21,8957
24-Oct,ADCA,ADCustomsGenericServices,1,GetCustomsProfile,1720,1720,0,1.371,0.046,0.09,0.12,1706,14,1706,14,7837,1070.48,221
24-Oct,ADCA,ADCustomsGenericServices,1,GetDeclarationType,106960,106953,178,307.938,0,0.09,0.18,106034,926,106029,923,1356,854.49,124
24-Oct,ADCA,ADCustomsGenericServices,1,GetEligibleCustomsCenter,102667,102664,41,201.734,0,0.09,0.12,101856,811,101853,810,3641,743.38,151
24-Oct,ADCA,ADCustomsGenericServices,1,GetExemptionList,34,34,0,0.312,0.091,0.1,0.11,34,0,34,0,2401,1695.79,104
24-Oct,ADCA,ADCustomsGenericServices,1,GetFTASubItems,305,305,0,1.294,0.078,0.09,0.11,303,2,303,2,495,495,495
24-Oct,ADCA,ADCustomsGenericServices,1,GetHarmCodeList,339754,339623,249,309.638,0,0.13,0.29,332671,7083,332583,7014,31522,5019.6,167
24-Oct,ADCA,ADCustomsGenericServices,1,GetHazardousMaterials,1888,1888,2,5.773,0,0.09,0.23,1832,56,1832,56,63173,2674.13,132
24-Oct,ADCA,ADCustomsGenericServices,1,GetJobStatus,89,89,0,1.1,0.079,0.1,0.13,88,1,88,1,174,171.1,166
24-Oct,ADCA,ADCustomsGenericServices,1,GetLookupDetails,8060,8060,1,6.38,0.042,0.1,0.42,7562,498,7562,498,825859,19128.59,120
24-Oct,ADCA,ADCustomsGenericServices,1,GetOriginExporter,21671,21670,12,181.415,0,5.21,3.19,8937,12734,8936,12734,57077,56854.48,133
24-Oct,ADCA,ADCustomsGenericServices,1,GetPrivateWharehouses,63,63,0,0.67,0.073,0.1,0.12,63,0,63,0,563,410.03,359
24-Oct,ADCA,ADCustomsGenericServices,1,GetServiceDocument,7481,7480,1,3.764,0.077,0.75,0.82,3779,3702,3778,3670,675,241.14,137
24-Oct,ADCA,ADCustomsGenericServices,1,GetServiceDocumentPDF,1381,1381,0,90.874,0.693,6.17,5.7,3,1378,3,1378,14852584,526103.23,145447
24-Oct,ADCA,ADCustomsGenericServices,1,ValidateDeclarationEligiblity,509,509,0,3.273,0.047,0.09,0.12,503,6,503,6,502,273.07,242
24-Oct,ADCA,ADCustomsGenericServices,1,ValidateDeliveryOrder,250,250,2,0.518,0,0.09,0.11,250,0,250,0,697,230.26,198
24-Oct,ADCA,ADCustomsGetDeclarationCharges,1,process,193232,193229,173,88.55,0,0.12,0.27,178214,15018,178211,14994,1034,517.5,188
24-Oct,ADCA,ADCustomsGetPaymentMethods,1,process,116305,116305,85,92.203,0,0.1,0.22,110231,6074,110231,6058,617,376.16,372
24-Oct,ADCA,ADCustomsIntellectualPropertyManagement,1,GetInfringementAlerts,4,4,0,0.123,0.076,0.09,0.1,4,0,4,0,225,224.25,222
